#All inastalled packeges, got em by yay -Q
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alacritty 0.13.2-2
alsa-card-profiles 1:1.2.2-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
amd-ucode 20240703.e94a2a3b-1
aom 3.9.1-1
apache 2.4.62-1
appstream 1.0.3-1
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-keyring 20240709-1
argon2 20190702-6
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
baobab 46.0-1
base 3-2
base-devel 1-1
bash 5.2.032-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-6
bluez 5.77-1
bluez-libs 5.77-1
bolt 0.9.8-1
boost-libs 1.83.0-9
brightnessctl 0.5.1-3
brltty 6.6-11
brotli 1.1.0-2
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.103-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cdparanoia 10.2-9
chromaprint 1.5.1-8
cifs-utils 7.0-4
cjson 1.7.18-1
code 1.92.1-1
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
composefs 1.0.4-1
coreutils 9.5-1
cracklib 2.10.2-1
cronie 1.7.2-1
cryptsetup 2.7.4-1
cups-pk-helper 0.2.7-2
curl 8.9.1-2
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.0-6
default-cursors 2-2
desktop-file-utils 0.27-1
device-mapper 2.03.25-2
diffutils 3.10-1
djvulibre 3.5.28-6
dotconf 1.4.1-1
double-conversion 3.3.0-2
duktape 2.7.0-7
dunst 1.11.0-1
e2fsprogs 1.47.1-4
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
electron30 30.3.1-1
ell 0.67-1
enchant 2.8.0-1
epiphany 46.3-1
evince 46.3.1-1
evolution-data-server 3.52.4-1
exempi 2.6.5-1
exiv2 0.28.3-1
exo 4.18.0-2
expat 2.6.2-1
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.35-1
fastfetch 2.21.1-1
ffmpeg 2:7.0.1-2
fftw 3.3.10-7
figlet 2.2.5-6
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 129.0-1
flac 1.4.3-2
flatpak 1:1.15.9-1
flex 2.6.4-5
fluidsynth 2.3.6-1
fmt 10.2.0-1
folks 0.15.9-1
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freerdp 2:3.7.0-1
freetype2 2.13.2-2
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.2.1+r32+geccf707e5ce-1
gcc-libs 14.2.1+r32+geccf707e5ce-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
gdm 46.2-2
geoclue 2.7.1-3
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.5-1
ghostscript 10.03.1-1
giflib 5.2.2-1
git 2.46.0-1
gjs 2:1.80.2-2
glib-networking 1:2.80.0-3
glib2 2.80.4-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.80.0-1
glslang 14.2.0-1
glu 9.0.3-2
glycin 1.0.1-2
gmp 6.3.0-2
gnome-autoar 0.4.4-1
gnome-backgrounds 46.0-1
gnome-bluetooth-3.0 46.1-1
gnome-calculator 46.1-1
gnome-calendar 46.1-2
gnome-characters 46.0-2
gnome-clocks 46.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-connections 46.0-3
gnome-console 46.0-2
gnome-contacts 46.0-1
gnome-control-center 46.4-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 46.0-1
gnome-font-viewer 46.0-2
gnome-keybindings 46.4-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-maps 46.11-1
gnome-menus 3.36.0-3
gnome-music 1:46.1-1
gnome-online-accounts 3.50.4-1
gnome-remote-desktop 46.4-1
gnome-session 46.0-2
gnome-settings-daemon 46.0-2
gnome-shell 1:46.4-1
gnome-shell-extensions 46.2-1
gnome-software 46.4-1
gnome-system-monitor 46.0-2
gnome-text-editor 46.3-2
gnome-tour 46.0-1
gnome-tweaks 46.1-1
gnome-user-docs 46.4-1
gnome-user-share 43.0-2
gnome-weather 46.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-4
gnutls 3.8.6-1
go 2:1.22.6-1
gobject-introspection 1.80.1-3
gobject-introspection-runtime 1.80.1-3
gom 0.5.3-1
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-1
graphite 1:1.3.14-4
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
groff 1.23.0-6
grub 2:2.12-2
grub-customizer 5.2.5-1
gsettings-desktop-schemas 46.1-2
gsettings-system-schemas 46.1-2
gsfonts 20200910-4
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.12.2-3
gssdp 1.6.3-1
gst-devtools-libs 1.24.6-1
gst-editing-services 1.24.6-1
gst-plugin-gtk 1.24.6-1
gst-plugin-pipewire 1:1.2.2-1
gst-plugins-bad 1.24.6-1
gst-plugins-bad-libs 1.24.6-1
gst-plugins-base 1.24.6-1
gst-plugins-base-libs 1.24.6-1
gst-plugins-good 1.24.6-1
gst-python 1.24.6-1
gstreamer 1.24.6-1
gtest 1.15.2-1
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.14.4-2
gtk-vnc 1.3.1-1
gtk3 1:3.24.43-1
gtk4 1:4.14.4-2
gtkmm-4.0 4.14.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gtksourceview5 5.12.1-1
guile 3.0.10-1
gum 0.14.3-1
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gvfs 1.54.2-1
gvfs-afc 1.54.2-1
gvfs-dnssd 1.54.2-1
gvfs-goa 1.54.2-1
gvfs-google 1.54.2-1
gvfs-gphoto2 1.54.2-1
gvfs-mtp 1.54.2-1
gvfs-nfs 1.54.2-1
gvfs-onedrive 1.54.2-1
